country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Chad	TCD	Africa	16425859	deaths	0.0	2022-20	0.0	193	Epidemic intelligence national data		2022-05-29
Chile	CHL	America	19116209	cases	35548.0	2022-20	355.781839380392	3647361	Epidemic intelligence national data		2022-05-29
Chile	CHL	America	19116209	deaths	85.0	2022-20	9.04991151749806	57810	Epidemic intelligence national data		2022-05-29
China	CHN	Asia	1439323774	cases	1758.0	2022-20	0.318760801626278	555408	Epidemic intelligence national data		2022-05-29
China	CHN	Asia	1439323774	deaths	19.0	2022-20	0.0430757840035511	14593	Epidemic intelligence national data		2022-05-29
Colombia	COL	America	50882884	cases	3795.0	2022-20	10.7423156281786	6099111	Epidemic intelligence national data		2022-05-29
Colombia	COL	America	50882884	deaths	12.0	2022-20	0.471671377746592	139833	Epidemic intelligence national data		2022-05-29
Comoros	COM	Africa	869595	cases	6.0	2022-20	0.804972429694283	8114	Epidemic intelligence national data		2022-05-29
Comoros	COM	Africa	869595	deaths	0.0	2022-20	0.0	160	Epidemic intelligence national data		2022-05-29
Congo	COG	Africa	5518092	cases	11.0	2022-20	0.199344266097774	24114	Epidemic intelligence national data		2022-05-29
Congo	COG	Africa	5518092	deaths	0.0	2022-20	0.0	385	Epidemic intelligence national data		2022-05-29
Cook Islands	COK	Oceania	17564	cases	237.0	2022-20	1349.35094511501	5543	Epidemic intelligence national data		2022-05-29
Cook Islands	COK	Oceania	17564	deaths	0.0	2022-20	0.0	1	Epidemic intelligence national data		2022-05-29
Costa Rica	CRI	America	5094114	cases	14405.0	2022-20	505.956482324502	891938	Epidemic intelligence national data		2022-05-29
Costa Rica	CRI	America	5094114	deaths	23.0	2022-20	10.0115545117365	8495	Epidemic intelligence national data		2022-05-29
Cote Divoire	CIV	Africa	26378275	cases	67.0	2022-20	0.3563538555876	82068	Epidemic intelligence national data		2022-05-29
Cote Divoire	CIV	Africa	26378275	deaths	0.0	2022-20	0.0	799	Epidemic intelligence national data		2022-05-29
Croatia	HRV	Europe	4036355	cases	2782.0	2022-20	160.78863231802	1134225	Epidemic intelligence national data		2022-05-29
Croatia	HRV	Europe	4036355	deaths	36.0	2022-20	19.3243656715031	15966	Epidemic intelligence national data		2022-05-29
Cuba	CUB	America	11326616	cases	355.0	2022-20	8.46678301798172	1105016	Epidemic intelligence national data		2022-05-29
Cuba	CUB	America	11326616	deaths	0.0	2022-20	0.176575245421934	8529	Epidemic intelligence national data		2022-05-29
Curaçao	CUW	America	164100	cases	473.0	2022-20	577.696526508227	43622	Epidemic intelligence national data		2022-05-29
Curaçao	CUW	America	164100	deaths	1.0	2022-20	12.187690432663	277	Epidemic intelligence national data		2022-05-29
Cyprus	CYP	Europe	896007	cases	1736.0	2022-20	424.438648358774	479549	TESSy COVID-19		2022-05-29
Cyprus	CYP	Europe	896007	deaths	6.0	2022-20	15.6248779306412	1168	TESSy COVID-19		2022-05-29
Czechia	CZE	Europe	10701777	cases	2194.0	2022-20	52.3557910055498	3914682	TESSy COVID-19		2022-05-29
Czechia	CZE	Europe	10701777	deaths	10.0	2022-20	2.80327276488755	40208	TESSy COVID-19		2022-05-29
Democratic Republic Of The Congo	COD	Africa	89561404	cases	610.0	2022-20	0.966934372757265	87634	Epidemic intelligence national data		2022-05-29
Democratic Republic Of The Congo	COD	Africa	89561404	deaths	1.0	2022-20	0.0111655239348414	1338	Epidemic intelligence national data		2022-05-29
Denmark	DNK	Europe	5840045	cases	3710.0	2022-20	137.772910996405	2815812	TESSy COVID-19		2022-05-29
Denmark	DNK	Europe	5840045	deaths	25.0	2022-20	12.6711352395401	5328	Epidemic intelligence national data		2022-05-29
Djibouti	DJI	Africa	988002	cases	44.0	2022-20	4.45343228050146	15675	Epidemic intelligence national data		2022-05-29
Djibouti	DJI	Africa	988002	deaths	0.0	2022-20	0.0	189	Epidemic intelligence national data		2022-05-29
Dominica	DMA	America	71991	cases	636.0	2022-20	1748.82971482546	13752	Epidemic intelligence national data		2022-05-29
Dominica	DMA	America	71991	deaths	0.0	2022-20	0.0	63	Epidemic intelligence national data		2022-05-29
Dominican Republic	DOM	America	10847904	cases	803.0	2022-20	14.1133254866562	581464	Epidemic intelligence national data		2022-05-29
Dominican Republic	DOM	America	10847904	deaths	0.0	2022-20	0.0921837066404718	4377	Epidemic intelligence national data		2022-05-29
Ecuador	ECU	America	17643060	cases	2285.0	2022-20	21.5212100395283	874750	Epidemic intelligence national data		2022-05-29
Ecuador	ECU	America	17643060	deaths	8.0	2022-20	0.906872163899006	35617	Epidemic intelligence national data		2022-05-29
Egypt	EGY	Africa	102334403	cases	35.0	2022-20	0.0684031937920232	513916	Epidemic intelligence national data		2022-05-29
Egypt	EGY	Africa	102334403	deaths	14.0	2022-20	0.342015968960116	24704	Epidemic intelligence national data		2022-05-29
El Salvador	SLV	America	6486201	cases	0.0	2022-20	0.0	162089	Epidemic intelligence national data		2022-05-29
El Salvador	SLV	America	6486201	deaths	1.0	2022-20	0.462520356677198	4131	Epidemic intelligence national data		2022-05-29
Equatorial Guinea	GNQ	Africa	1402985	cases	0.0	2022-20	0.213829798607968	16007	Epidemic intelligence national data		2022-05-29
Equatorial Guinea	GNQ	Africa	1402985	deaths	0.0	2022-20	0.0	183	Epidemic intelligence national data		2022-05-29
Eritrea	ERI	Africa	3546427	cases	8.0	2022-20	0.451158306656249	9753	Epidemic intelligence national data		2022-05-29
